Algoritm,Seed,Max Iter,Population,BitFlip Prob,Energy,Time (s)
EA,6,75000,500,0.002,11926.0,5.170
EA,6,75000,500,0.005,11152.0,5.120
EA,6,75000,500,0.01,9912.0,4.674
EA,6,75000,1000,0.0005,10411.0,4.968
EA,6,75000,1000,0.001,10773.0,6.241
EA,6,75000,1000,0.002,10788.0,6.060
EA,6,75000,1000,0.005,10097.0,5.098
EA,6,75000,1000,0.01,9253.0,5.764
EA,6,100000,20,0.0005,12738.0,4.360
EA,6,100000,20,0.001,12836.0,4.273
EA,6,100000,20,0.002,12823.0,4.358
EA,6,100000,20,0.005,12457.0,4.429
EA,6,100000,20,0.01,11266.0,4.482
EA,6,100000,50,0.0005,12834.0,4.467
EA,6,100000,50,0.001,12780.0,4.860
EA,6,100000,50,0.002,12844.0,4.436
EA,6,100000,50,0.005,12349.0,4.379
EA,6,100000,50,0.01,11275.0,4.441
EA,6,100000,100,0.0005,12819.0,4.460
EA,6,100000,100,0.001,12931.0,4.442
EA,6,100000,100,0.002,12677.0,4.920
EA,6,100000,100,0.005,12027.0,4.847
EA,6,100000,100,0.01,11103.0,4.462
EA,6,100000,200,0.0005,12753.0,4.730
EA,6,100000,200,0.001,12660.0,3.936
EA,6,100000,200,0.002,12674.0,4.487
EA,6,100000,200,0.005,11798.0,4.417
EA,6,100000,200,0.01,10794.0,4.836
EA,6,100000,500,0.0005,11865.0,4.687
EA,6,100000,500,0.001,12097.0,5.056
EA,6,100000,500,0.002,11926.0,4.657
EA,6,100000,500,0.005,11152.0,5.510
EA,6,100000,500,0.01,9912.0,5.953
EA,6,100000,1000,0.0005,10411.0,5.449
EA,6,100000,1000,0.001,10773.0,5.005
EA,6,100000,1000,0.002,10788.0,5.534
EA,6,100000,1000,0.005,10097.0,5.440
EA,6,100000,1000,0.01,9253.0,5.087
EA,7,50000,20,0.0005,12867.0,4.337
EA,7,50000,20,0.001,12754.0,4.956
EA,7,50000,20,0.002,12776.0,4.458
EA,7,50000,20,0.005,12570.0,4.487
EA,7,50000,20,0.01,11327.0,4.923
EA,7,50000,50,0.0005,12925.0,4.337
EA,7,50000,50,0.001,12853.0,4.456
EA,7,50000,50,0.002,12893.0,4.338
EA,7,50000,50,0.005,12298.0,4.830
EA,7,50000,50,0.01,11229.0,4.478
EA,7,50000,100,0.0005,12854.0,4.838
EA,7,50000,100,0.001,12775.0,4.381
EA,7,50000,100,0.002,12580.0,4.483
EA,7,50000,100,0.005,11991.0,4.831
EA,7,50000,100,0.01,11043.0,4.497
EA,7,50000,200,0.0005,12729.0,4.830
EA,7,50000,200,0.001,12800.0,4.504
EA,7,50000,200,0.002,12681.0,4.941
EA,7,50000,200,0.005,12004.0,4.465
EA,7,50000,200,0.01,10815.0,4.475
EA,7,50000,500,0.0005,12011.0,5.459
EA,7,50000,500,0.001,12221.0,4.683
EA,7,50000,500,0.002,11707.0,4.793
EA,7,50000,500,0.005,11370.0,5.212
EA,7,50000,500,0.01,10053.0,4.493
EA,7,50000,1000,0.0005,10935.0,5.734
EA,7,50000,1000,0.001,10795.0,5.561
EA,7,50000,1000,0.002,11166.0,5.196
EA,7,50000,1000,0.005,10371.0,4.754
EA,7,50000,1000,0.01,9304.0,5.589
EA,7,75000,20,0.0005,12867.0,4.304
EA,7,75000,20,0.001,12754.0,4.461
EA,7,75000,20,0.002,12776.0,4.865
EA,7,75000,20,0.005,12570.0,4.334
EA,7,75000,20,0.01,11327.0,4.456
EA,7,75000,50,0.0005,12925.0,4.447
EA,7,75000,50,0.001,12853.0,4.767
EA,7,75000,50,0.002,12893.0,4.730
EA,7,75000,50,0.005,12298.0,4.420
EA,7,75000,50,0.01,11229.0,4.859
EA,7,75000,100,0.0005,12854.0,4.434
EA,7,75000,100,0.001,12775.0,4.829
EA,7,75000,100,0.002,12580.0,4.453
EA,7,75000,100,0.005,11991.0,4.466
EA,7,75000,100,0.01,11043.0,4.641
EA,7,75000,200,0.0005,12729.0,4.479
EA,7,75000,200,0.001,12800.0,4.091
EA,7,75000,200,0.002,12681.0,4.548
EA,7,75000,200,0.005,12004.0,4.394
EA,7,75000,200,0.01,10815.0,4.829
EA,7,75000,500,0.0005,12011.0,4.699
EA,7,75000,500,0.001,12221.0,4.613
EA,7,75000,500,0.002,11707.0,5.052
EA,7,75000,500,0.005,11370.0,5.567
EA,7,75000,500,0.01,10053.0,4.740
EA,7,75000,1000,0.0005,10935.0,5.116
EA,7,75000,1000,0.001,10795.0,5.120
EA,7,75000,1000,0.002,11166.0,5.487
EA,7,75000,1000,0.005,10371.0,5.863
EA,7,75000,1000,0.01,9304.0,5.094
EA,7,100000,20,0.0005,12867.0,5.072
EA,7,100000,20,0.001,12754.0,4.750
EA,7,100000,20,0.002,12776.0,4.539
EA,7,100000,20,0.005,12570.0,4.445
EA,7,100000,20,0.01,11327.0,4.455
EA,7,100000,50,0.0005,12925.0,4.404
EA,7,100000,50,0.001,12853.0,4.456
EA,7,100000,50,0.002,12893.0,4.491
EA,7,100000,50,0.005,12298.0,4.467
EA,7,100000,50,0.01,11229.0,4.449
EA,7,100000,100,0.0005,12854.0,4.716
EA,7,100000,100,0.001,12775.0,4.455
EA,7,100000,100,0.002,12580.0,4.828
EA,7,100000,100,0.005,11991.0,4.439
EA,7,100000,100,0.01,11043.0,4.357
EA,7,100000,200,0.0005,12729.0,4.925
EA,7,100000,200,0.001,12800.0,4.478
EA,7,100000,200,0.002,12681.0,4.413
EA,7,100000,200,0.005,12004.0,4.401
EA,7,100000,200,0.01,10815.0,4.523
EA,7,100000,500,0.0005,12011.0,6.026
EA,7,100000,500,0.001,12221.0,4.620
EA,7,100000,500,0.002,11707.0,4.646
EA,7,100000,500,0.005,11370.0,4.639
EA,7,100000,500,0.01,10053.0,5.158
EA,7,100000,1000,0.0005,10935.0,5.126
EA,7,100000,1000,0.001,10795.0,5.310
EA,7,100000,1000,0.002,11166.0,6.460
EA,7,100000,1000,0.005,10371.0,5.444
EA,7,100000,1000,0.01,9304.0,5.934
EA,8,50000,20,0.0005,12835.0,4.782
EA,8,50000,20,0.001,12839.0,4.443
EA,8,50000,20,0.002,12821.0,4.766
EA,8,50000,20,0.005,12452.0,4.376
EA,8,50000,20,0.01,11347.0,4.436
EA,8,50000,50,0.0005,12646.0,4.403
EA,8,50000,50,0.001,12789.0,4.399
EA,8,50000,50,0.002,12810.0,4.434
EA,8,50000,50,0.005,12399.0,4.906
EA,8,50000,50,0.01,11274.0,4.436
EA,8,50000,100,0.0005,12830.0,5.264
EA,8,50000,100,0.001,12785.0,4.421
EA,8,50000,100,0.002,12638.0,4.440
EA,8,50000,100,0.005,12027.0,4.349
EA,8,50000,100,0.01,10753.0,4.394
EA,8,50000,200,0.0005,12685.0,4.514
EA,8,50000,200,0.001,12577.0,4.968
EA,8,50000,200,0.002,12395.0,4.498
EA,8,50000,200,0.005,11812.0,4.494
EA,8,50000,200,0.01,10266.0,4.453
EA,8,50000,500,0.0005,12018.0,4.816
EA,8,50000,500,0.001,11790.0,5.495
EA,8,50000,500,0.002,11841.0,5.190
EA,8,50000,500,0.005,11195.0,4.678
EA,8,50000,500,0.01,10116.0,5.049
EA,8,50000,1000,0.0005,10636.0,5.968
EA,8,50000,1000,0.001,10874.0,5.047
EA,8,50000,1000,0.002,10639.0,6.296
EA,8,50000,1000,0.005,10185.0,5.166
EA,8,50000,1000,0.01,9090.0,5.448
EA,8,75000,20,0.0005,12835.0,4.270
EA,8,75000,20,0.001,12839.0,4.569
EA,8,75000,20,0.002,12821.0,4.529
EA,8,75000,20,0.005,12452.0,4.222
EA,8,75000,20,0.01,11347.0,4.419
EA,8,75000,50,0.0005,12646.0,4.451
EA,8,75000,50,0.001,12789.0,4.473
EA,8,75000,50,0.002,12810.0,4.389
EA,8,75000,50,0.005,12399.0,4.352
EA,8,75000,50,0.01,11274.0,4.467
EA,8,75000,100,0.0005,12830.0,4.469
EA,8,75000,100,0.001,12785.0,4.787
EA,8,75000,100,0.002,12638.0,4.431
EA,8,75000,100,0.005,12027.0,4.349
EA,8,75000,100,0.01,10753.0,4.365
EA,8,75000,200,0.0005,12685.0,4.513
EA,8,75000,200,0.001,12577.0,4.344
EA,8,75000,200,0.002,12395.0,4.771
EA,8,75000,200,0.005,11812.0,4.969
EA,8,75000,200,0.01,10266.0,5.392
EA,8,75000,500,0.0005,12018.0,5.174
EA,8,75000,500,0.001,11790.0,5.265
EA,8,75000,500,0.002,11841.0,5.113
EA,8,75000,500,0.005,11195.0,5.109
EA,8,75000,500,0.01,10116.0,5.108
EA,8,75000,1000,0.0005,10636.0,4.863
EA,8,75000,1000,0.001,10874.0,5.035
EA,8,75000,1000,0.002,10639.0,6.465
EA,8,75000,1000,0.005,10185.0,5.729
EA,8,75000,1000,0.01,9090.0,5.415
EA,8,100000,20,0.0005,12835.0,4.425
EA,8,100000,20,0.001,12839.0,4.452
EA,8,100000,20,0.002,12821.0,4.549
EA,8,100000,20,0.005,12452.0,4.796
EA,8,100000,20,0.01,11347.0,4.577
EA,8,100000,50,0.0005,12646.0,4.318
EA,8,100000,50,0.001,12789.0,4.496
EA,8,100000,50,0.002,12810.0,4.460
EA,8,100000,50,0.005,12399.0,4.456
EA,8,100000,50,0.01,11274.0,4.428
EA,8,100000,100,0.0005,12830.0,4.456
EA,8,100000,100,0.001,12785.0,4.422
EA,8,100000,100,0.002,12638.0,4.466
EA,8,100000,100,0.005,12027.0,4.421
EA,8,100000,100,0.01,10753.0,4.496
EA,8,100000,200,0.0005,12685.0,4.388
EA,8,100000,200,0.001,12577.0,4.467
EA,8,100000,200,0.002,12395.0,4.435
EA,8,100000,200,0.005,11812.0,4.931
EA,8,100000,200,0.01,10266.0,4.481
EA,8,100000,500,0.0005,12018.0,4.805
EA,8,100000,500,0.001,11790.0,5.530
EA,8,100000,500,0.002,11841.0,4.673
EA,8,100000,500,0.005,11195.0,4.623
EA,8,100000,500,0.01,10116.0,4.715
EA,8,100000,1000,0.0005,10636.0,5.108
EA,8,100000,1000,0.001,10874.0,5.020
EA,8,100000,1000,0.002,10639.0,6.038
EA,8,100000,1000,0.005,10185.0,5.477
EA,8,100000,1000,0.01,9090.0,5.448
EA,9,50000,20,0.0005,12849.0,4.880
EA,9,50000,20,0.001,12889.0,4.444
EA,9,50000,20,0.002,12660.0,4.311
EA,9,50000,20,0.005,12471.0,4.456
EA,9,50000,20,0.01,11460.0,4.474
EA,9,50000,50,0.0005,12873.0,4.349
EA,9,50000,50,0.001,12927.0,4.476
EA,9,50000,50,0.002,12836.0,4.753
EA,9,50000,50,0.005,12420.0,4.478
EA,9,50000,50,0.01,11183.0,4.380
EA,9,50000,100,0.0005,12596.0,4.361
EA,9,50000,100,0.001,12836.0,4.416
EA,9,50000,100,0.002,12815.0,4.852
EA,9,50000,100,0.005,12207.0,4.451
EA,9,50000,100,0.01,10878.0,4.299
EA,9,50000,200,0.0005,12717.0,4.912
EA,9,50000,200,0.001,12728.0,4.428
EA,9,50000,200,0.002,12409.0,4.525
EA,9,50000,200,0.005,11960.0,4.824
EA,9,50000,200,0.01,10704.0,4.397
EA,9,50000,500,0.0005,11832.0,4.591
EA,9,50000,500,0.001,11860.0,4.691
EA,9,50000,500,0.002,11870.0,4.694
EA,9,50000,500,0.005,11399.0,4.683
EA,9,50000,500,0.01,10098.0,5.140
EA,9,50000,1000,0.0005,10685.0,5.057
EA,9,50000,1000,0.001,10967.0,6.060
EA,9,50000,1000,0.002,10928.0,6.057
EA,9,50000,1000,0.005,10488.0,5.128
EA,9,50000,1000,0.01,9173.0,4.972
EA,9,75000,20,0.0005,12849.0,4.486
EA,9,75000,20,0.001,12889.0,4.493
EA,9,75000,20,0.002,12660.0,4.343
EA,9,75000,20,0.005,12471.0,4.606
EA,9,75000,20,0.01,11460.0,4.500
EA,9,75000,50,0.0005,12873.0,4.490
EA,9,75000,50,0.001,12927.0,4.871
EA,9,75000,50,0.002,12836.0,4.470
EA,9,75000,50,0.005,12420.0,4.392
EA,9,75000,50,0.01,11183.0,4.372
EA,9,75000,100,0.0005,12596.0,4.337
EA,9,75000,100,0.001,12836.0,4.466
EA,9,75000,100,0.002,12815.0,4.442
EA,9,75000,100,0.005,12207.0,4.455
EA,9,75000,100,0.01,10878.0,4.332
EA,9,75000,200,0.0005,12717.0,4.403
EA,9,75000,200,0.001,12728.0,4.375
EA,9,75000,200,0.002,12409.0,4.436
EA,9,75000,200,0.005,11960.0,4.453
EA,9,75000,200,0.01,10704.0,4.868
EA,9,75000,500,0.0005,11832.0,4.819
EA,9,75000,500,0.001,11860.0,4.704
EA,9,75000,500,0.002,11870.0,5.219
EA,9,75000,500,0.005,11399.0,5.145
EA,9,75000,500,0.01,10098.0,4.674
EA,9,75000,1000,0.0005,10685.0,5.035
EA,9,75000,1000,0.001,10967.0,5.070
EA,9,75000,1000,0.002,10928.0,5.151
EA,9,75000,1000,0.005,10488.0,5.089
EA,9,75000,1000,0.01,9173.0,5.443
EA,9,100000,20,0.0005,12849.0,4.420
EA,9,100000,20,0.001,12889.0,4.964
EA,9,100000,20,0.002,12660.0,4.391
EA,9,100000,20,0.005,12471.0,4.578
EA,9,100000,20,0.01,11460.0,4.321
EA,9,100000,50,0.0005,12873.0,4.815
EA,9,100000,50,0.001,12927.0,4.855
EA,9,100000,50,0.002,12836.0,4.369
EA,9,100000,50,0.005,12420.0,4.756
EA,9,100000,50,0.01,11183.0,4.342
EA,9,100000,100,0.0005,12596.0,4.459
EA,9,100000,100,0.001,12836.0,4.474
EA,9,100000,100,0.002,12815.0,4.767
EA,9,100000,100,0.005,12207.0,4.444
EA,9,100000,100,0.01,10878.0,4.421
EA,9,100000,200,0.0005,12717.0,4.531
EA,9,100000,200,0.001,12728.0,5.231
EA,9,100000,200,0.002,12409.0,4.862
EA,9,100000,200,0.005,11960.0,4.548
EA,9,100000,200,0.01,10704.0,4.479
EA,9,100000,500,0.0005,11832.0,4.658
EA,9,100000,500,0.001,11860.0,4.695
EA,9,100000,500,0.002,11870.0,4.681
EA,9,100000,500,0.005,11399.0,5.133
EA,9,100000,500,0.01,10098.0,4.694
EA,9,100000,1000,0.0005,10685.0,5.446
EA,9,100000,1000,0.001,10967.0,5.639
EA,9,100000,1000,0.002,10928.0,5.202
EA,9,100000,1000,0.005,10488.0,5.956
EA,9,100000,1000,0.01,9173.0,5.965
