Algoritm,Seed,Max Iter,Population,BitFlip Prob,Energy,Time (s)
EA,1,50000,1000,0.005,10262.0,5.200
EA,1,50000,1000,0.01,8975.0,5.874
EA,1,75000,20,0.0005,12810.0,4.462
EA,1,75000,20,0.001,12848.0,4.422
EA,1,75000,20,0.002,12913.0,4.951
EA,1,75000,20,0.005,12503.0,4.862
EA,1,75000,20,0.01,11504.0,4.439
EA,1,75000,50,0.0005,12965.0,4.758
EA,1,75000,50,0.001,12869.0,4.734
EA,1,75000,50,0.002,12935.0,4.323
EA,1,75000,50,0.005,12364.0,4.445
EA,1,75000,50,0.01,11112.0,5.246
EA,1,75000,100,0.0005,12785.0,4.472
EA,1,75000,100,0.001,12613.0,4.464
EA,1,75000,100,0.002,12723.0,4.423
EA,1,75000,100,0.005,12242.0,4.900
EA,1,75000,100,0.01,11102.0,4.468
EA,1,75000,200,0.0005,12710.0,4.468
EA,1,75000,200,0.001,12731.0,4.409
EA,1,75000,200,0.002,12649.0,4.424
EA,1,75000,200,0.005,11994.0,4.398
EA,1,75000,200,0.01,10630.0,4.391
EA,1,75000,500,0.0005,12061.0,4.830
EA,1,75000,500,0.001,12033.0,5.489
EA,1,75000,500,0.002,11970.0,4.635
EA,1,75000,500,0.005,11234.0,5.419
EA,1,75000,500,0.01,10002.0,5.276
EA,1,75000,1000,0.0005,9940.0,5.599
EA,1,75000,1000,0.001,11232.0,5.646
EA,1,75000,1000,0.002,10851.0,5.583
EA,1,75000,1000,0.005,10262.0,5.156
EA,1,75000,1000,0.01,8975.0,5.944
EA,1,100000,20,0.0005,12810.0,4.723
EA,1,100000,20,0.001,12848.0,4.397
EA,1,100000,20,0.002,12913.0,4.052
EA,1,100000,20,0.005,12503.0,4.409
EA,1,100000,20,0.01,11504.0,4.415
EA,1,100000,50,0.0005,12965.0,4.362
EA,1,100000,50,0.001,12869.0,4.470
EA,1,100000,50,0.002,12935.0,4.743
EA,1,100000,50,0.005,12364.0,4.438
EA,1,100000,50,0.01,11112.0,4.339
EA,1,100000,100,0.0005,12785.0,4.406
EA,1,100000,100,0.001,12613.0,4.448
EA,1,100000,100,0.002,12723.0,4.459
EA,1,100000,100,0.005,12242.0,4.499
EA,1,100000,100,0.01,11102.0,4.500
EA,1,100000,200,0.0005,12710.0,5.385
EA,1,100000,200,0.001,12731.0,4.493
EA,1,100000,200,0.002,12649.0,4.337
EA,1,100000,200,0.005,11994.0,4.862
EA,1,100000,200,0.01,10630.0,4.500
EA,1,100000,500,0.0005,12061.0,5.105
EA,1,100000,500,0.001,12033.0,4.722
EA,1,100000,500,0.002,11970.0,5.216
EA,1,100000,500,0.005,11234.0,5.370
EA,1,100000,500,0.01,10002.0,5.126
EA,1,100000,1000,0.0005,9940.0,5.326
EA,1,100000,1000,0.001,11232.0,5.163
EA,1,100000,1000,0.002,10851.0,5.160
EA,1,100000,1000,0.005,10262.0,5.009
EA,1,100000,1000,0.01,8975.0,5.892
EA,2,50000,20,0.0005,12701.0,4.433
EA,2,50000,20,0.001,12841.0,5.131
EA,2,50000,20,0.002,12796.0,4.904
EA,2,50000,20,0.005,12499.0,4.619
EA,2,50000,20,0.01,11322.0,4.406
EA,2,50000,50,0.0005,12740.0,4.439
EA,2,50000,50,0.001,12764.0,3.860
EA,2,50000,50,0.002,12714.0,5.256
EA,2,50000,50,0.005,12425.0,4.932
EA,2,50000,50,0.01,11308.0,4.406
EA,2,50000,100,0.0005,12904.0,4.733
EA,2,50000,100,0.001,12883.0,4.464
EA,2,50000,100,0.002,12758.0,4.328
EA,2,50000,100,0.005,12113.0,4.351
EA,2,50000,100,0.01,11161.0,4.369
EA,2,50000,200,0.0005,12753.0,4.586
EA,2,50000,200,0.001,12743.0,4.508
EA,2,50000,200,0.002,12414.0,5.244
EA,2,50000,200,0.005,11898.0,4.580
EA,2,50000,200,0.01,10409.0,4.406
EA,2,50000,500,0.0005,12046.0,4.631
EA,2,50000,500,0.001,12164.0,4.612
EA,2,50000,500,0.002,12003.0,5.162
EA,2,50000,500,0.005,11249.0,4.698
EA,2,50000,500,0.01,9908.0,4.582
EA,2,50000,1000,0.0005,10826.0,5.581
EA,2,50000,1000,0.001,10828.0,5.048
EA,2,50000,1000,0.002,10893.0,5.157
EA,2,50000,1000,0.005,10137.0,5.917
EA,2,50000,1000,0.01,9235.0,5.543
EA,2,75000,20,0.0005,12701.0,4.265
EA,2,75000,20,0.001,12841.0,4.494
EA,2,75000,20,0.002,12796.0,4.344
EA,2,75000,20,0.005,12499.0,4.542
EA,2,75000,20,0.01,11322.0,4.448
EA,2,75000,50,0.0005,12740.0,4.516
EA,2,75000,50,0.001,12764.0,4.382
EA,2,75000,50,0.002,12714.0,4.437
EA,2,75000,50,0.005,12425.0,4.448
EA,2,75000,50,0.01,11308.0,4.434
EA,2,75000,100,0.0005,12904.0,4.492
EA,2,75000,100,0.001,12883.0,4.364
EA,2,75000,100,0.002,12758.0,4.537
EA,2,75000,100,0.005,12113.0,4.897
EA,2,75000,100,0.01,11161.0,4.484
EA,2,75000,200,0.0005,12753.0,4.486
EA,2,75000,200,0.001,12743.0,4.483
EA,2,75000,200,0.002,12414.0,4.981
EA,2,75000,200,0.005,11898.0,4.763
EA,2,75000,200,0.01,10409.0,4.433
EA,2,75000,500,0.0005,12046.0,5.918
EA,2,75000,500,0.001,12164.0,4.747
EA,2,75000,500,0.002,12003.0,4.847
EA,2,75000,500,0.005,11249.0,4.825
EA,2,75000,500,0.01,9908.0,4.680
EA,2,75000,1000,0.0005,10826.0,7.080
EA,2,75000,1000,0.001,10828.0,5.002
